SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
75750.0;9711.0;0.8086705797549171;0.7176593034959874;0.6987342234864341;0.6604450983403781;34.0;36.0
75895.0;9566.0;0.8396403930587497;0.7310306013725684;0.7771442620984261;0.732745835340392;36.0;36.0
76694.0;8767.0;0.8781795368997376;0.8625497264886232;0.7054207840878897;0.7310324918289453;36.0;36.0
76068.0;9393.0;0.7958053869903119;0.6980926520993764;0.6200248258013972;0.5759779463891015;18.0;36.0
81998.0;3463.0;0.8772740398498412;0.6833906851923993;0.6637515847145927;0.6422656524034367;12.0;12.0
76402.0;9059.0;0.7689590462523457;0.7185178782878578;0.7596108159348363;0.6623272248283005;35.0;36.0
77280.0;8181.0;0.8068695758464736;0.7073864152763562;0.7881425293957662;0.7155926120539273;35.0;36.0
76756.0;8705.0;0.856634118322803;0.6556826679763643;0.650429289141932;0.6232924742875499;36.0;36.0
77172.0;8289.0;0.7657135963324888;0.6944626899584366;0.6939361353198181;0.6571780504354692;27.0;33.0
75134.0;10327.0;0.7218940641038055;0.5088201348109428;0.4888801508739396;0.4791623027117378;23.0;36.0
