SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
35862.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0
33618.0;2274.0;0.9445910290237467;0.9445910290237467;0.9445910290237467;0.9445910290237467;0.0;0.0
35601.0;291.0;1.0;1.0;1.0;1.0;0.0;0.0
35272.0;620.0;1.0;1.0;1.0;1.0;0.0;0.0
32387.0;3505.0;0.8721825962910128;0.8721825962910128;0.8721825962910128;0.8721825962910128;12.0;12.0
27125.0;8767.0;0.8909547165507015;0.8909547165507015;0.8909547165507015;0.8909547165507015;36.0;36.0
33043.0;2849.0;0.7444717444717445;0.7444717444717445;0.7444717444717445;0.7444717444717446;0.0;12.0
32429.0;3463.0;0.8807392434305515;0.8807392434305515;0.8807392434305515;0.8807392434305515;12.0;12.0
30504.0;5388.0;0.7824795842613215;0.7824795842613215;0.7824795842613215;0.7824795842613215;24.0;24.0
27187.0;8705.0;0.8647903503733486;0.8647903503733486;0.8647903503733486;0.8647903503733486;36.0;36.0
