SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
111807.0;7146.0;0.968233977050098;0.9219414233935022;0.9361480127192686;0.9261209519831862;36.0;36.0
108629.0;10324.0;0.95592793490895;0.9037353456267968;0.9177363013810954;0.9005861009054131;35.0;37.0
110317.0;8636.0;0.9302918017600741;0.8500766071877265;0.9188162237002356;0.8619544953090948;27.0;34.0
113478.0;5475.0;0.9201826484018265;0.9131662118973047;0.7501587514478992;0.7662876964507968;25.0;25.0
111230.0;7723.0;0.8680564547455651;0.8543236702815264;0.8107185539755103;0.7551229755423147;29.0;36.0
109890.0;9063.0;0.8507116848725588;0.8396056466233058;0.8403070112837402;0.8198589517046687;33.0;36.0
109865.0;9088.0;0.8784110915492958;0.8108550528833052;0.915253431831206;0.8354952199625049;36.0;36.0
110714.0;8239.0;0.95084354897439;0.8897462831130991;0.9453638255943994;0.9117817158476013;35.0;36.0
110269.0;8684.0;0.8857669276830954;0.8830370238635298;0.738362416712702;0.7580001791747536;20.0;36.0
115797.0;3156.0;0.8447401774397972;0.9046833247081262;0.7155922692310175;0.7120381197660284;12.0;12.0
110311.0;8642.0;0.8133533904188845;0.7681242739074697;0.8246085963961957;0.7427293984820658;35.0;36.0
111472.0;7481.0;0.8827696831974335;0.8070990367458885;0.864072967389237;0.8218835957212424;36.0;36.0
110719.0;8234.0;0.9162011173184358;0.8429262113329986;0.7527215885944457;0.7389751199142739;36.0;36.0
111333.0;7620.0;0.7979002624671916;0.8414636658274647;0.7242413267316962;0.6984248001139299;23.0;33.0
109511.0;9442.0;0.7467697521711502;0.6356712091478272;0.6539360968115985;0.6252869506759267;28.0;36.0
