SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
104619.0;6626.0;0.9788711137941443;0.9408234280314163;0.9544033867091006;0.9444625040163217;33.0;36.0
101496.0;9749.0;0.9519950764180941;0.9067357866629717;0.8734925059447612;0.8467195818549893;30.0;37.0
103122.0;8123.0;0.9462021420657393;0.8659912617860156;0.9171244066630398;0.8626584106372575;24.0;34.0
106140.0;5105.0;0.9533790401567092;0.952384692721323;0.8176405939118295;0.8333138782646442;25.0;25.0
104118.0;7127.0;0.8905570366212993;0.8766860627828098;0.8204749530542477;0.7731907022108271;28.0;36.0
102781.0;8464.0;0.8786625708884688;0.8865756486553683;0.8627162712469488;0.861593885418082;30.0;36.0
102774.0;8471.0;0.9011923031519301;0.8229442203221049;0.9322428683249699;0.8543225112967686;36.0;36.0
103560.0;7685.0;0.9675992192582954;0.9177931586171343;0.9604501383239568;0.9355084513255998;36.0;36.0
103169.0;8076.0;0.9128281327389797;0.9085440194180483;0.7683458082946316;0.7989144820400084;20.0;36.0
108298.0;2947.0;0.8666440447913132;0.9173129804494367;0.7297988166416957;0.7370518118957285;12.0;12.0
102929.0;8316.0;0.7947330447330447;0.7477995845718729;0.8372072050727059;0.7300721360329266;35.0;36.0
104303.0;6942.0;0.8867761452031115;0.8118724939133871;0.8731042898595573;0.8259463102575497;35.0;36.0
103536.0;7709.0;0.9272279154235309;0.8477679812507174;0.7616071099468421;0.744036024501605;35.0;36.0
104180.0;7065.0;0.8151450813871196;0.7995305488948955;0.7250502070180732;0.6997181377168339;23.0;33.0
102405.0;8840.0;0.7657239819004525;0.6307462632968337;0.6534753070540392;0.6233828189522725;26.0;36.0
