SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
119327.0;7723.0;0.9403081704001036;0.8732718258534383;0.9238255148448219;0.8900180907894774;36.0;36.0
116126.0;10924.0;0.9275906261442695;0.8512400975343218;0.8526522613243352;0.8325086664564056;36.0;37.0
117883.0;9167.0;0.9034580560706883;0.817576931295186;0.8763277204217427;0.8263800721033681;29.0;34.0
121163.0;5887.0;0.908102598946832;0.737058724160515;0.7579581911137805;0.7457861902800197;25.0;25.0
118701.0;8349.0;0.8427356569649059;0.8112352300980271;0.7860921916486986;0.7261085878325433;25.0;36.0
117359.0;9691.0;0.7518315963264885;0.7854918125846427;0.7450054150460914;0.6753255833594445;35.0;36.0
117333.0;9717.0;0.8511886384686632;0.7945032945241605;0.8944638248171879;0.8111129795617428;36.0;36.0
118215.0;8835.0;0.9275608375778155;0.8645714916771366;0.9190598929523708;0.8832814635446308;36.0;36.0
117745.0;9305.0;0.8644814615797958;0.8563266728289037;0.6968466909249632;0.6884677189169119;26.0;36.0
123684.0;3366.0;0.8036244800950684;0.5777149777957207;0.6666666666666666;0.6153428061184875;12.0;12.0
118059.0;8991.0;0.8219330441552664;0.7705067379594989;0.8073308774774383;0.754167069305586;35.0;36.0
119009.0;8041.0;0.8761348091033454;0.8129455100029561;0.8657709380233544;0.8214541554389984;35.0;36.0
118244.0;8806.0;0.882807176924824;0.7525591392963171;0.6718705207871233;0.6255474950554737;36.0;36.0
118860.0;8190.0;0.8074481074481075;0.8181747631744016;0.7485811339851324;0.7353260904774361;26.0;33.0
116992.0;10058.0;0.7177371246768741;0.6181266675912946;0.6187210360899319;0.5942764200718089;24.0;36.0
