SEP=;
actual;predicted
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Medium;SQUAT
Squat_Medium;SQUAT
Squat_Medium;SQUAT
Squat_Medium;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Medium;SQUAT
Squat_Medium;SQUAT
Squat_Medium;SQUAT
Squat_Medium;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Fast;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Medium;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Lunge_Slow;LUNGE
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Fast;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Medium;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Pushup_Slow;PUSHUP
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Fast;SQUAT
Squat_Medium;NEGATIVE
Squat_Medium;SQUAT
Squat_Medium;NEGATIVE
Squat_Medium;NEGATIVE
Squat_Slow;NEGATIVE
Squat_Slow;SQUAT
Squat_Slow;SQUAT
Squat_Slow;SQUAT
