SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
34312.0;1937.0;0.9659266907589055;0.6759718591438622;0.6026653085476615;0.6138963314596454;12.0;12.0
32960.0;3289.0;0.9622985709942232;0.5642769658236741;0.5850650800178582;0.5735088712271414;13.0;13.0
33560.0;2689.0;0.9624395686128673;0.5958316814494179;0.675255996581801;0.6109482060647373;11.0;11.0
34493.0;1756.0;0.974373576309795;0.5882749098794406;0.6;0.5940460375658845;9.0;9.0
33941.0;2308.0;0.9250433275563258;0.764529304652643;0.6713585416933725;0.6809795710084204;11.0;12.0
33761.0;2488.0;0.9405144694533762;0.7068097482559538;0.7433551952080736;0.7233882991590199;12.0;12.0
33738.0;2511.0;0.9227399442453206;0.726151821779737;0.7142920429897981;0.7038583114406922;12.0;12.0
33634.0;2615.0;0.892925430210325;0.5904669066231908;0.6084938786841535;0.5761290134230679;12.0;12.0
33154.0;3095.0;0.8888529886914378;0.6899121358283009;0.5849757108864357;0.5988430732661147;6.0;12.0
35477.0;772.0;0.8937823834196891;0.793974732750243;0.6701816523115727;0.6534473438498206;4.0;4.0
33871.0;2378.0;0.8502943650126157;0.7061927111686811;0.5529185072976938;0.5680890761224997;11.0;12.0
34155.0;2094.0;0.826647564469914;0.5684501170016761;0.5873866990333959;0.48801524559100823;10.0;12.0
33748.0;2501.0;0.9276289484206317;0.5412467303523726;0.5034230944774076;0.5105165099734867;12.0;12.0
33603.0;2646.0;0.8665910808767952;0.6085127214648178;0.5720561330939705;0.5558451232971079;10.0;11.0
33079.0;3170.0;0.8160883280757097;0.6087873699036905;0.6157179262115794;0.5622643868265768;11.0;12.0
