SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
40622.0;2395.0;0.9352818371607515;0.5525806069898157;0.6945236740529239;0.5907965139052836;12.0;12.0
39452.0;3565.0;0.8950911640953717;0.7645118765378404;0.8244205332573044;0.7777534937868334;11.0;12.0
40173.0;2844.0;0.8642756680731364;0.7001388583133178;0.6940120756968469;0.6670110117810609;7.0;11.0
41382.0;1635.0;0.9406727828746178;0.8879102272622676;0.7951362259494362;0.8187546027207773;8.0;8.0
40348.0;2669.0;0.8860996627950544;0.8204678438651626;0.830875610116055;0.7606541684834326;12.0;12.0
39339.0;3678.0;0.8564437194127243;0.840337405776788;0.7810267743760697;0.7634057568199466;8.0;12.0
39300.0;3717.0;0.8030669895076675;0.7595261883292433;0.870025156655954;0.7824116094485772;12.0;12.0
39946.0;3071.0;0.9182676652556171;0.8230930143545488;0.9053020572610755;0.8468772845750241;12.0;12.0
39991.0;3026.0;0.8658294778585591;0.7206938372857674;0.727066427847628;0.6999394989536682;9.0;12.0
41896.0;1121.0;0.8198037466547725;0.8811709366579897;0.7009150898683876;0.683448340345956;4.0;4.0
39875.0;3142.0;0.7702100572883513;0.8089665434842427;0.7834100848011826;0.7148510703796402;12.0;12.0
40262.0;2755.0;0.9092558983666061;0.8695363295983922;0.9308679509259686;0.8919377001108245;11.0;12.0
39971.0;3046.0;0.9254760341431385;0.8414336425700376;0.7583860737341259;0.7383570005204707;12.0;12.0
40451.0;2566.0;0.8339828526890102;0.796426206177245;0.7762312846924307;0.762590514861989;11.0;11.0
39230.0;3787.0;0.6931608133086876;0.6176686796833957;0.6339707723022442;0.6016450151825159;10.0;12.0
