SEP=;
actual;predicted
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;NEGATIVE
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;NEGATIVE
SQUAT;NEGATIVE
SQUAT;NEGATIVE
SQUAT;NEGATIVE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;NEGATIVE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;NEGATIVE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;NEGATIVE
SQUAT;NEGATIVE
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;NEGATIVE
SQUAT;NEGATIVE
SQUAT;SQUAT
SQUAT;NEGATIVE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;NEGATIVE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;NEGATIVE
