SEP=;
Training_Samples;Testing_Samples;Accuracy;Precision;Recall;F1;Correct_Reps;Total_Reps
75309.0;9691.0;0.793416572077185;0.8121826962440531;0.7775676874125816;0.7438456628980059;35.0;36.0
75283.0;9717.0;0.8549963980652465;0.7973443692591454;0.896878711475119;0.8170081753383736;36.0;36.0
76165.0;8835.0;0.9315223542727787;0.8728357691237486;0.9001965681256193;0.8835580393414647;36.0;36.0
75695.0;9305.0;0.8064481461579796;0.7012578746312988;0.6502029744817451;0.6206120758039952;17.0;36.0
81634.0;3366.0;0.916815210932858;0.9286879466867691;0.8708791161696471;0.8921104348273453;12.0;12.0
76009.0;8991.0;0.8273829384940496;0.7980740233264355;0.8177354927240212;0.7543853304009586;36.0;36.0
76959.0;8041.0;0.8696679517472952;0.7993620782979003;0.8535858779982016;0.8138216701078997;36.0;36.0
76194.0;8806.0;0.8865546218487395;0.7899429933065127;0.790297678500205;0.7271204616280613;36.0;36.0
76810.0;8190.0;0.7663003663003664;0.8009988255429235;0.712598806186108;0.693617284832137;25.0;33.0
74942.0;10058.0;0.7382183336647444;0.6151552017137897;0.624738684150765;0.6029366351995299;22.0;36.0
