SEP=;
actual;predicted
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
SQUAT;SQUAT
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
LUNGE;LUNGE
PUSHUP;PUSHUP
PUSHUP;PUSHUP
PUSHUP;PUSHUP
