SEP=;
File;pelvis;lowerSpine;middleSpine;upperSpine;rightClavicle;rightShoulder;rightElbow;rightWrist;leftClavicle;leftShoulder;leftElbow;leftWrist;rightHip;rightKnee;rightAnkle;leftHip;leftKnee;leftAnkle
Lunge_Error2;down;front_down;front_down;front_down;front_down;front_down;down;front_down;front_down;front_down;front;front;down;down;None;down;down;None
Lunge_Error3;None;front;front;front;front;front;None;front;front;front;front;front;None;None;None;None;None;None
Pushup_Error1;front;front;front;None;None;None;None;None;None;None;front;front;front;front_down;front_down;front;front_down;front_down
Pushup_Error1;front;front;front;front;front;front;None;None;front;front;front;None;front;front;front;front;front;front
Pushup_Error1;front;front;front;None;None;None;None;None;None;None;front;None;front;front;front;front;front;front
Pushup_Error1;front;front;front;None;None;None;None;None;None;None;front;front;front;front_down;front;front;front_down;front
Pushup_Error2;up;None;None;None;None;None;front;None;None;None;front;None;up;front_up;front;up;front_up;front
Pushup_Error2;None;None;None;None;None;None;front;None;None;up;front;None;None;None;None;None;None;None
Pushup_Error2;None;None;None;None;None;None;down;None;None;None;front_left;None;None;None;None;None;None;None
Pushup_Error3;up;up;up;up;up;up;None;None;up;up;None;None;up;up;None;up;up;None
Pushup_Error3;up;up;up;up;up;up;None;None;up;up;None;None;up;up;None;up;up;None
Pushup_Error3;up;up;up;up;up;up;None;None;up;up;None;None;up;up;None;up;up;None
Pushup_Error3;up;up;up;up;up;up;None;None;up;up;None;None;up;None;None;up;None;None
Squat_Error1;down;down;down;front_down;down;down;front;front_down;front_down;front_down;front;front;down;front_down;None;down;front_down;None
Squat_Error2;front;front;front;front;front;front;front;front;front;front;front_down;front_down;front;right_down;None;front;right_down;None
Squat_Error2;front;front;front;front;None;None;None;None;None;None;None;None;front;right_down;None;front;right_down;None
Squat_Error2;front;front;front;front;front;front;front;front;front;front;None;None;front;right_down;None;front;right_down;None
Squat_Error2;front;front;front;front;down;front_down;front;None;down;front_down;None;None;front;down;None;front;down;None
Squat_Error3;front;front;front_up;up;up;up;up;up;up;up;up;up;front;None;None;front;None;None
Squat_Error3;front;front;front_up;up;up;up;up;up;up;up;up;up;front;None;None;front;None;None
Squat_Error3;front;front;front_up;up;up;up;up;up;up;up;up;up;front;None;None;front;None;None
Squat_Error3;front;front_up;up;up;up;up;up;up;up;up;up;up;front;None;None;front;None;None
Lunge_Error1;down;down;down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;front;down;front;None;down;front;None
Lunge_Error1;None;front;front;front_down;front_down;front;front_down;front;front_down;front_down;front_down;front;back;None;None;back;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front_down;front;front;front;back;None;None;back;None;None
Lunge_Error2;None;None;None;None;None;None;None;None;None;down;down;None;None;None;None;None;None;None
Lunge_Error2;down;down;down;down;down;down;down;None;down;down;down;None;down;down;None;down;down;None
Lunge_Error2;down;down;down;down;down;down;None;None;down;down;down;None;down;down;None;down;down;None
Lunge_Error2;down;down;down;down;down;down;None;None;down;down;down;None;down;down;None;down;down;None
Lunge_Error2;None;None;None;None;None;None;None;None;None;None;front_down;front;None;down;None;None;down;None
Lunge_Error3;front;front;front_right;right;right_up;right;up;right_up;right;right;None;front;front;back_left;None;front;back_left;None
Lunge_Error3;front;front;front;front;front_right;front_right;front;right;front_right;front_right;front;front;front;back_left;None;front;back_left;None
Lunge_Error3;front_up;front_up;front_up;up;up;up;up;up;up;up;front_up;front;front_up;back_left;None;front_up;back_left;None
Lunge_Error3;front;front;front;front;front;front;front;right_up;front;front;front;front;front;back_left;None;front;back_left;None
Pushup_Error1;down;down;down;down;down;down;down;None;down;down;back;left;down;down;down;down;down;down
Pushup_Error1;down;down;down;back;back;back;down;None;back;back;back;back;down;down;down;down;down;down
Pushup_Error1;down;down;down;back;back;back;down;None;back;back;None;None;down;down;down;down;down;down
Pushup_Error1;down;down;None;back;back;back;down;None;back;back;None;back;down;down;down;down;down;down
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left;back;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left;None;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left;back;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left;None;back;back;back;back;back;back
Pushup_Error3;back;back;back;back;back;back;back_down;None;back;back;back;None;back;back;back;back;back;back
Pushup_Error3;back;back;back;back;back;back;back_down;None;back;back;back;None;back;back;back;back;back;back
Pushup_Error3;back;back;back;back;back;back;back_down;None;back;back;back;None;back;back;back;back;back;back
Pushup_Error3;back;back;back;back;back;back;down;None;back;back;back_left;None;back;back;back;back;back;back
Squat_Error2;down;down;down;front_down;front_down;front_down;front_down;down;front_down;front_down;front;front;down;right;None;down;right;None
Squat_Error2;front;front;front;front;front_down;front_down;front;front;front_down;front_down;front;front;front;right;None;front;right;None
Squat_Error2;front;front;front;front;front;front;front;None;front;front;front;front;front;back_right;None;front;back_right;None
Squat_Error2;front;front;front;front;front_down;front;front;front;front_down;front;front;front;front;right;None;front;right;None
Squat_Error3;None;None;None;None;None;None;back;back;None;None;None;None;None;right;None;None;right;None
Squat_Error3;None;None;None;right;right;right;back;back;right;right;right;right;None;None;None;None;None;None
Squat_Error3;None;None;None;right;right;right;back;None;right;right;right;right;None;None;None;None;None;None
Lunge_Error2;front;front;front;front_down;front_down;front;front_left;front;front_down;front_down;front;front;front;back_left_down;None;front;back_left_down;None
Lunge_Error3;None;down;down;down;down;down;front;None;down;down;down;front_down;None;None;None;None;None;None
Pushup_Error1;down;down;down;right;None;None;down;None;None;right;back;right;down;down;front;down;down;front
Pushup_Error2;None;down;down;down;down;down;right_down;None;down;down;None;None;None;None;None;None;None;None
Pushup_Error2;None;down;down;down;down;down;right_down;None;down;down;None;None;None;None;None;None;None;None
Pushup_Error3;back_up;back_up;back_up;up;up;up;back_down;None;up;back_up;back_right;right;back_up;back;back;back_up;back;back
Pushup_Error3;back_up;back_up;up;up;up;up;back_down;None;up;back_up;right;right;back_up;None;back;back_up;None;back
Pushup_Error3;up;up;up;up;up;up;back_down;None;up;up;right;right;up;None;None;up;None;None
Pushup_Error3;up;up;up;up;up;up;back_down;None;up;up;right;right;up;None;None;up;None;None
Squat_Error1;None;None;None;None;None;None;down;down;None;None;right;down;None;None;None;None;None;None
Squat_Error1;back;None;front;front_down;front_down;front_down;front_down;down;front_down;front_down;down;down;back;None;None;back;None;None
Squat_Error1;None;None;None;None;None;None;None;down;None;None;None;down;None;None;None;None;None;None
Squat_Error1;None;None;None;None;None;None;front;front;None;None;front;front;None;None;None;None;None;None
Squat_Error2;right;front;front_right;None;None;None;None;down;None;None;right;down;right;None;None;right;None;None
Squat_Error2;right;front;front;None;None;None;None;None;None;None;None;None;right;front_down;None;right;front_down;None
Squat_Error2;None;front;front;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
Squat_Error2;front;front_up;up;up;back_up;back_up;up;up;back_up;back_up;up;up;front;back;None;front;back;None
Squat_Error3;down;down;down;down;down;down;down;down;down;down;down;down;down;front_down;None;down;front_down;None
Squat_Error3;front;up;up;up;back_up;back_up;up;None;back_up;back_up;up;None;front;None;None;front;None;None
Lunge_Error1;back;front;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front;front;back;None;None;back;None;None
Lunge_Error1;down;down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front;down;None;None;down;None;None
Lunge_Error1;None;front;front;front_down;front_down;front_down;front_down;front_down;front_down;front;front;front;back;None;None;back;None;None
Lunge_Error1;None;front;front;front;front_down;front;front_down;front_down;front_down;front;front;front;None;None;None;None;None;None
Lunge_Error2;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;None;front;down;down;None;down;down;None
Lunge_Error2;down;down;front_down;down;down;down;down;down;down;down;down;front;down;down;None;down;down;None
Lunge_Error3;right;right;right;right;right;right;right;right;right;right;right;right;right;right;None;right;right;None
Lunge_Error3;down;down;down;down;None;None;front;None;down;down;right;down;down;left_down;None;down;left_down;None
Lunge_Error3;None;None;None;None;None;None;None;None;None;None;right;down;None;left;None;None;left;None
Lunge_Error3;back;back;back;back;None;None;None;None;None;None;back;back;back;back;None;back;back;None
Pushup_Error1;back_up;back_up;back_up;back_up;back_up;back_up;down;None;back_up;back_up;left;None;back_up;back_up;back;back_up;back_up;back
Squat_Error1;back;None;None;None;front;front;front;front;front;front;front;front_down;back;back_up;None;back;back_up;None
Squat_Error1;back;None;None;None;None;None;front;front;None;None;None;front_down;back;back_up;None;back;back_up;None
Squat_Error1;back;None;None;None;front;front;front;front_down;front;front;front_down;front_down;back;back_up;None;back;back_up;None
Squat_Error2;None;None;None;None;None;None;None;None;None;None;None;None;None;left;None;None;left;None
Squat_Error2;None;None;None;None;None;None;None;None;None;None;None;None;None;left;None;None;left;None
Squat_Error2;up;up;None;up;up;up;None;None;up;up;None;None;up;back;None;up;back;None
Squat_Error3;front;up;up;up;up;up;up;up;up;up;up;up;front;None;None;front;None;None
Squat_Error3;down;down;down;down;down;down;down;down;down;down;down;down;down;front_down;None;down;front_down;None
Lunge_Error1;front_left;front;front;front;front;front;left_down;front;front;front;front;front_left;front_left;back;None;front_left;back;None
Lunge_Error1;front_left;front;front;front;front;front;left_down;front;front;front;front;front_left;left;back;None;left;back;None
Lunge_Error1;front_left;front;front;front;front;front;left_down;front;front;front;front;front_left;left;back;None;left;back;None
Lunge_Error1;front_left;front;front;front;front;front;down;front;front;front;front;front_left;left;back;None;left;back;None
Lunge_Error2;None;front;front;front;front;front;down;front;front;front;None;front;None;down;None;None;down;None
Lunge_Error2;front;front;front;front;front;front;front_right_down;front;front;front;None;front;front;front;None;front;front;None
Lunge_Error2;right;front_right;front_right;front;front;front;right;front_right;front;front;right;front;right;down;None;right;down;None
Lunge_Error2;down;down;down;front_down;front_down;front;right_down;front;front_down;front_down;down;front;down;front_down;None;down;front_down;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;None;up;up;None;up;up;None
Lunge_Error3;up;up;up;up;up;up;None;up;up;up;up;None;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;None;up;up;up;up;None;up;None;None;up;None;None
