SEP=;
File;Actual_Start;Calculated_Start;Difference
Lunge_Fast.csv;144;139;-5
Lunge_Medium.csv;205;184;-21
Lunge_Medium.csv;436;415;-21
Lunge_Medium.csv;667;653;-14
Lunge_Slow.csv;205;173;-32
Lunge_Slow.csv;477;465;-12
Lunge_Slow.csv;752;737;-15
Lunge_Slow.csv;1026;999;-27
Pushup_Fast.csv;452;406;-46
Pushup_Slow.csv;465;412;-53
Pushup_Slow.csv;1020;1007;-13
Squat_Fast.csv;327;319;-8
Squat_Medium.csv;294;272;-22
Squat_Medium.csv;527;505;-22
Squat_Medium.csv;758;748;-10
Squat_Medium.csv;982;978;-4
Squat_Slow.csv;600;588;-12
Squat_Slow.csv;870;839;-31
Squat_Slow.csv;1140;1146;6
Squat_Slow.csv;1414;1427;13
Lunge_Fast.csv;294;280;-14
Lunge_Fast.csv;662;673;11
Lunge_Medium.csv;1058;1042;-16
Lunge_Medium.csv;1292;1279;-13
Lunge_Medium.csv;1526;1509;-17
Lunge_Medium.csv;1759;1747;-12
Lunge_Slow.csv;256;240;-16
Lunge_Slow.csv;535;530;-5
Lunge_Slow.csv;811;803;-8
Lunge_Slow.csv;1091;1081;-10
Pushup_Fast.csv;230;222;-8
Pushup_Fast.csv;418;418;0
Pushup_Fast.csv;600;603;3
Pushup_Medium.csv;332;323;-9
Pushup_Medium.csv;560;543;-17
Pushup_Medium.csv;788;772;-16
Pushup_Medium.csv;1024;1017;-7
Pushup_Slow.csv;386;373;-13
Pushup_Slow.csv;664;641;-23
Pushup_Slow.csv;944;934;-10
Pushup_Slow.csv;1224;1225;1
Squat_Fast.csv;282;260;-22
Squat_Fast.csv;471;477;6
Squat_Fast.csv;657;676;19
Squat_Fast.csv;840;862;22
Squat_Medium.csv;374;363;-11
Squat_Medium.csv;606;590;-16
Squat_Medium.csv;833;839;6
Squat_Medium.csv;1064;1064;0
Squat_Slow.csv;584;569;-15
Squat_Slow.csv;861;854;-7
Squat_Slow.csv;1145;1135;-10
Squat_Slow.csv;1423;1414;-9
Lunge_Fast.csv;492;480;-12
Lunge_Medium.csv;838;713;-125
Lunge_Medium.csv;1069;1064;-5
Lunge_Medium.csv;1536;1519;-17
Lunge_Slow.csv;222;201;-21
Lunge_Slow.csv;503;484;-19
Lunge_Slow.csv;781;776;-5
Lunge_Slow.csv;1062;1057;-5
Pushup_Fast.csv;193;193;0
Pushup_Medium.csv;232;200;-32
Pushup_Medium.csv;470;467;-3
Pushup_Medium.csv;931;917;-14
Pushup_Slow.csv;215;215;0
Pushup_Slow.csv;495;500;5
Pushup_Slow.csv;772;779;7
Pushup_Slow.csv;1048;1048;0
Squat_Fast.csv;354;347;-7
Squat_Medium.csv;322;313;-9
Squat_Medium.csv;555;565;10
Squat_Medium.csv;781;774;-7
Squat_Medium.csv;1011;996;-15
Squat_Slow.csv;204;203;-1
Squat_Slow.csv;766;783;17
Squat_Slow.csv;1042;1040;-2
Lunge_Fast.csv;935;941;6
Lunge_Medium.csv;661;614;-47
Lunge_Medium.csv;1123;1094;-29
Lunge_Slow.csv;192;202;10
Lunge_Slow.csv;471;472;1
Lunge_Slow.csv;745;743;-2
Lunge_Slow.csv;1023;1017;-6
Pushup_Medium.csv;169;166;-3
Pushup_Medium.csv;403;409;6
Pushup_Medium.csv;632;637;5
Pushup_Slow.csv;247;246;-1
Pushup_Slow.csv;526;526;0
Pushup_Slow.csv;803;784;-19
Pushup_Slow.csv;1082;1091;9
Squat_Fast.csv;245;244;-1
Squat_Medium.csv;522;498;-24
Squat_Medium.csv;984;946;-38
Squat_Medium.csv;1219;1228;9
Squat_Slow.csv;235;253;18
Squat_Slow.csv;514;489;-25
Squat_Slow.csv;790;784;-6
Squat_Slow.csv;1065;1050;-15
Pushup_Fast.csv;252;254;2
Pushup_Medium.csv;500;481;-19
Pushup_Medium.csv;729;737;8
Pushup_Slow.csv;724;744;20
Pushup_Slow.csv;999;999;0
Pushup_Slow.csv;1272;1266;-6
Pushup_Slow.csv;1530;1526;-4
Lunge_Fast.csv;420;420;0
Lunge_Medium.csv;293;300;7
Lunge_Medium.csv;527;525;-2
Lunge_Medium.csv;754;745;-9
Lunge_Medium.csv;986;998;12
Lunge_Slow.csv;262;269;7
Lunge_Slow.csv;543;563;20
Lunge_Slow.csv;824;858;34
Lunge_Slow.csv;1104;1125;21
Pushup_Medium.csv;224;202;-22
Pushup_Medium.csv;456;454;-2
Pushup_Medium.csv;688;675;-13
Pushup_Slow.csv;590;583;-7
Pushup_Slow.csv;867;869;2
Pushup_Slow.csv;1139;1124;-15
Squat_Fast.csv;281;275;-6
Squat_Medium.csv;606;581;-25
Squat_Medium.csv;836;842;6
Squat_Medium.csv;1295;1312;17
Squat_Slow.csv;206;205;-1
Squat_Slow.csv;478;481;3
Squat_Slow.csv;752;766;14
Squat_Slow.csv;1032;1027;-5
Lunge_Fast.csv;512;510;-2
Lunge_Medium.csv;527;520;-7
Lunge_Medium.csv;755;744;-11
Lunge_Medium.csv;975;963;-12
Lunge_Medium.csv;1200;1176;-24
Lunge_Slow.csv;215;208;-7
Lunge_Slow.csv;489;473;-16
Lunge_Slow.csv;765;746;-19
Lunge_Slow.csv;1038;1019;-19
Pushup_Fast.csv;240;210;-30
Pushup_Medium.csv;376;365;-11
Pushup_Medium.csv;830;819;-11
Pushup_Slow.csv;506;428;-78
Pushup_Slow.csv;779;741;-38
Pushup_Slow.csv;1045;1011;-34
Pushup_Slow.csv;1320;1278;-42
Squat_Fast.csv;267;264;-3
Squat_Fast.csv;446;432;-14
Squat_Medium.csv;260;239;-21
Squat_Medium.csv;486;475;-11
Squat_Medium.csv;712;711;-1
Squat_Medium.csv;939;955;16
Squat_Slow.csv;246;241;-5
Squat_Slow.csv;512;506;-6
Squat_Slow.csv;775;762;-13
Squat_Slow.csv;1044;1019;-25
Lunge_Fast.csv;253;253;0
Lunge_Medium.csv;302;300;-2
Lunge_Medium.csv;534;525;-9
Lunge_Medium.csv;760;754;-6
Lunge_Slow.csv;206;204;-2
Lunge_Slow.csv;478;476;-2
Lunge_Slow.csv;747;737;-10
Lunge_Slow.csv;1017;1002;-15
Pushup_Fast.csv;166;166;0
Pushup_Medium.csv;270;263;-7
