SEP=;
File;Actual_Start;Calculated_Start;Difference
Lunge_Medium.csv;45;49;4
Lunge_Medium.csv;685;688;3
Lunge_Slow.csv;199;200;1
Lunge_Slow.csv;517;517;0
Lunge_Slow.csv;830;833;3
Lunge_Slow.csv;1123;1129;6
Pushup_Fast.csv;32;34;2
Pushup_Fast.csv;344;337;-7
Pushup_Medium.csv;55;58;3
Pushup_Medium.csv;237;238;1
Pushup_Medium.csv;414;413;-1
Pushup_Slow.csv;130;128;-2
Pushup_Slow.csv;391;395;4
Pushup_Slow.csv;683;684;1
Pushup_Slow.csv;964;965;1
Squat_Fast.csv;66;34;-32
Squat_Medium.csv;92;95;3
Squat_Slow.csv;87;95;8
Squat_Slow.csv;406;410;4
Squat_Slow.csv;714;717;3
Lunge_Fast.csv;763;627;-136
Lunge_Medium.csv;487;484;-3
Lunge_Medium.csv;913;908;-5
Lunge_Medium.csv;1133;1129;-4
Lunge_Slow.csv;722;721;-1
Lunge_Slow.csv;987;991;4
Lunge_Slow.csv;1240;1240;0
Pushup_Fast.csv;328;317;-11
Pushup_Medium.csv;324;320;-4
Pushup_Medium.csv;542;542;0
Pushup_Medium.csv;742;738;-4
Pushup_Slow.csv;693;696;3
Pushup_Slow.csv;955;958;3
Pushup_Slow.csv;1193;1195;2
Squat_Fast.csv;686;687;1
Squat_Medium.csv;629;618;-11
Squat_Medium.csv;816;801;-15
Squat_Slow.csv;775;772;-3
Squat_Slow.csv;1062;1063;1
Squat_Slow.csv;1369;1370;1
Lunge_Medium.csv;52;38;-14
Lunge_Slow.csv;38;30;-8
Lunge_Slow.csv;345;340;-5
Lunge_Slow.csv;612;613;1
Lunge_Slow.csv;875;860;-15
Pushup_Slow.csv;238;239;1
Pushup_Slow.csv;514;513;-1
Pushup_Slow.csv;816;811;-5
Pushup_Slow.csv;1116;1115;-1
Squat_Medium.csv;111;115;4
Squat_Medium.csv;372;357;-15
Squat_Medium.csv;577;577;0
Squat_Medium.csv;788;771;-17
Squat_Slow.csv;163;119;-44
Squat_Slow.csv;452;456;4
Squat_Slow.csv;764;767;3
Squat_Slow.csv;1065;1064;-1
Lunge_Fast.csv;69;71;2
Lunge_Medium.csv;71;60;-11
Lunge_Medium.csv;247;250;3
Lunge_Medium.csv;435;437;2
Lunge_Slow.csv;120;121;1
Lunge_Slow.csv;432;435;3
Lunge_Slow.csv;708;712;4
Lunge_Slow.csv;974;956;-18
Squat_Medium.csv;183;176;-7
Squat_Medium.csv;388;391;3
Squat_Medium.csv;571;572;1
Squat_Slow.csv;153;156;3
Squat_Slow.csv;520;523;3
Squat_Slow.csv;840;841;1
Squat_Slow.csv;1180;1186;6
Lunge_Fast.csv;116;99;-17
Lunge_Fast.csv;627;606;-21
Lunge_Medium.csv;102;105;3
Lunge_Medium.csv;661;663;2
Lunge_Slow.csv;354;264;-90
Lunge_Slow.csv;633;635;2
Lunge_Slow.csv;888;891;3
Lunge_Slow.csv;1109;1112;3
Pushup_Fast.csv;185;189;4
Pushup_Fast.csv;328;314;-14
Pushup_Medium.csv;337;337;0
Pushup_Medium.csv;678;662;-16
Pushup_Slow.csv;251;254;3
Pushup_Slow.csv;515;508;-7
Pushup_Slow.csv;792;795;3
Pushup_Slow.csv;1073;1066;-7
Squat_Fast.csv;176;60;-116
Squat_Fast.csv;531;530;-1
Squat_Medium.csv;410;410;0
Squat_Medium.csv;595;596;1
Squat_Slow.csv;154;155;1
Squat_Slow.csv;418;386;-32
Squat_Slow.csv;783;782;-1
Lunge_Fast.csv;138;139;1
Lunge_Medium.csv;203;185;-18
Lunge_Medium.csv;423;421;-2
Lunge_Slow.csv;195;183;-12
Lunge_Slow.csv;474;465;-9
Lunge_Slow.csv;744;737;-7
Lunge_Slow.csv;1015;1000;-15
Pushup_Fast.csv;453;452;-1
Pushup_Slow.csv;437;415;-22
Pushup_Slow.csv;737;725;-12
Pushup_Slow.csv;1017;1001;-16
Pushup_Slow.csv;1284;1243;-41
Squat_Fast.csv;318;319;1
Squat_Medium.csv;271;273;2
Squat_Medium.csv;521;523;2
Squat_Medium.csv;750;748;-2
Squat_Medium.csv;978;978;0
Squat_Slow.csv;585;588;3
Squat_Slow.csv;846;840;-6
Squat_Slow.csv;1143;1147;4
Squat_Slow.csv;1425;1427;2
Lunge_Fast.csv;276;280;4
Lunge_Fast.csv;672;674;2
Lunge_Fast.csv;864;861;-3
Lunge_Medium.csv;1044;1049;5
Lunge_Medium.csv;1276;1279;3
Lunge_Medium.csv;1517;1510;-7
Lunge_Medium.csv;1754;1748;-6
Lunge_Slow.csv;234;240;6
Lunge_Slow.csv;527;530;3
Lunge_Slow.csv;800;803;3
Lunge_Slow.csv;1081;1081;0
Pushup_Fast.csv;220;222;2
Pushup_Fast.csv;428;419;-9
Pushup_Fast.csv;618;607;-11
Pushup_Medium.csv;322;324;2
Pushup_Medium.csv;543;546;3
Pushup_Medium.csv;776;768;-8
Pushup_Medium.csv;1023;1017;-6
Pushup_Slow.csv;371;373;2
