SEP=;
File;Actual_Start;Calculated_Start;Difference
Lunge_Short;388490.0;388926.0;436.0
Lunge_Medium;218420.0;218791.0;371.0
Lunge_Medium;223290.0;224043.0;753.0
Lunge_Medium;227639.0;227867.0;228.0
Lunge_Medium;232250.0;232680.0;430.0
Lunge_Long;111060.0;111331.0;271.0
Lunge_Long;117986.0;119090.0;1104.0
Lunge_Long;124736.0;125528.0;792.0
Lunge_Long;131152.0;134338.0;3186.0
Pushup_Short;339388.0;339574.0;186.0
Pushup_Short;342684.0;342868.0;184.0
Pushup_Short;346112.0;346257.0;145.0
Pushup_Short;349281.0;349426.0;145.0
Pushup_Medium;190537.0;190741.0;204.0
Pushup_Medium;194413.0;194577.0;164.0
Pushup_Medium;198268.0;198515.0;247.0
Pushup_Medium;202294.0;202439.0;145.0
Pushup_Long;67552.0;67839.0;287.0
Pushup_Long;73250.0;73602.0;352.0
Pushup_Long;79470.0;79676.0;206.0
Pushup_Long;85562.0;85811.0;249.0
Squat_Short;305676.0;305902.0;226.0
Squat_Medium;158148.0;158418.0;270.0
Squat_Medium;167207.0;167394.0;187.0
Squat_Medium;171736.0;171900.0;164.0
Squat_Long;16052.0;16609.0;557.0
Squat_Long;22845.0;23134.0;289.0
Squat_Long;29390.0;29598.0;208.0
Squat_Long;36069.0;36405.0;336.0
Lunge_Short;913003.0;913353.0;350.0
Lunge_Short;917785.0;919468.0;1683.0
Lunge_Medium;698045.0;698768.0;723.0
Lunge_Medium;703035.0;703367.0;332.0
Lunge_Medium;707196.0;707985.0;789.0
Lunge_Medium;711983.0;712707.0;724.0
Lunge_Long;584822.0;585132.0;310.0
Lunge_Long;590985.0;591150.0;165.0
Lunge_Long;596653.0;596926.0;273.0
Lunge_Long;602043.0;603101.0;1058.0
Pushup_Short;860104.0;860330.0;226.0
Pushup_Medium;652724.0;652991.0;267.0
Pushup_Medium;657366.0;657741.0;375.0
Pushup_Medium;661679.0;661947.0;268.0
Pushup_Medium;665595.0;665886.0;291.0
Pushup_Long;228489.0;228798.0;309.0
Pushup_Long;233734.0;234024.0;290.0
Pushup_Long;239445.0;239733.0;288.0
Pushup_Long;244628.0;245000.0;372.0
Squat_Short;769957.0;770146.0;189.0
Squat_Short;773914.0;774267.0;353.0
Squat_Short;777964.0;778340.0;376.0
Squat_Short;782571.0;782736.0;165.0
Squat_Medium;533539.0;533723.0;184.0
Squat_Medium;537726.0;537913.0;187.0
Squat_Medium;541800.0;542132.0;332.0
Squat_Long;104438.0;104728.0;290.0
Squat_Long;110437.0;110768.0;331.0
Squat_Long;116592.0;116884.0;292.0
Squat_Long;123284.0;123490.0;206.0
Lunge_Short;332529.0;332757.0;228.0
Lunge_Medium;211757.0;212212.0;455.0
Lunge_Medium;216289.0;217008.0;719.0
Lunge_Medium;221130.0;221566.0;436.0
Lunge_Medium;225417.0;225728.0;311.0
Lunge_Long;48264.0;48944.0;680.0
Lunge_Long;54970.0;55682.0;712.0
Lunge_Long;60799.0;61481.0;682.0
Lunge_Long;66439.0;66934.0;495.0
Pushup_Medium;171396.0;171582.0;186.0
Pushup_Medium;175439.0;175563.0;124.0
Pushup_Medium;179412.0;179536.0;124.0
Pushup_Long;138034.0;138197.0;163.0
Pushup_Long;143902.0;144192.0;290.0
Pushup_Long;150327.0;150596.0;269.0
Pushup_Long;156800.0;157032.0;232.0
Squat_Medium;122738.0;123112.0;374.0
Squat_Medium;128430.0;128615.0;185.0
Squat_Medium;132832.0;133141.0;309.0
Squat_Medium;137331.0;137541.0;210.0
Squat_Long;13643.0;13189.0;-454.0
Squat_Long;19930.0;20514.0;584.0
Squat_Long;26776.0;27208.0;432.0
Squat_Long;33519.0;33915.0;396.0
Lunge_Short;691989.0;692483.0;494.0
Lunge_Short;703378.0;703979.0;601.0
Lunge_Medium;593045.0;593439.0;394.0
Lunge_Medium;596873.0;597121.0;248.0
Lunge_Medium;600989.0;601298.0;309.0
Lunge_Medium;605195.0;605692.0;497.0
Lunge_Long;399528.0;400295.0;767.0
Lunge_Long;406246.0;406864.0;618.0
Lunge_Long;412134.0;412962.0;828.0
Lunge_Long;417908.0;418304.0;396.0
Squat_Short;636302.0;636528.0;226.0
Squat_Medium;469670.0;469938.0;268.0
Squat_Medium;474145.0;474520.0;375.0
Squat_Medium;478059.0;478327.0;268.0
Squat_Medium;482097.0;482366.0;269.0
Squat_Long;33590.0;34003.0;413.0
Squat_Long;41462.0;41690.0;228.0
Squat_Long;48322.0;49069.0;747.0
Squat_Long;55688.0;56206.0;518.0
Lunge_Short;932186.0;932395.0;209.0
Lunge_Short;936084.0;936354.0;270.0
Lunge_Short;940199.0;940571.0;372.0
Lunge_Short;944524.0;944772.0;248.0
Lunge_Medium;777068.0;777357.0;289.0
Lunge_Medium;781140.0;781533.0;393.0
Lunge_Medium;785532.0;785779.0;247.0
Lunge_Medium;790289.0;790683.0;394.0
Lunge_Long;585113.0;585320.0;207.0
Lunge_Long;591286.0;591576.0;290.0
Lunge_Long;597167.0;597456.0;289.0
Lunge_Long;602627.0;603295.0;668.0
Pushup_Short;871712.0;872022.0;310.0
Pushup_Short;875312.0;875517.0;205.0
Pushup_Short;879373.0;879750.0;377.0
Pushup_Short;883850.0;883850.0;0.0
Pushup_Medium;734912.0;735118.0;206.0
Pushup_Medium;738724.0;739077.0;353.0
Pushup_Medium;743202.0;743429.0;227.0
Pushup_Medium;747524.0;747772.0;248.0
Pushup_Long;151874.0;152060.0;186.0
Pushup_Long;157648.0;157962.0;314.0
Pushup_Long;163576.0;163844.0;268.0
Pushup_Long;169674.0;169881.0;207.0
Squat_Short;832234.0;831489.0;-745.0
Squat_Short;836242.0;836449.0;207.0
